date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team,goalie,sv%
2024-11-05,19:00,Away,1,L,3,2,1,Montreal Canadiens,35,24,11,1,3,0,66.7,42.7,Calgary Flames,Dustin Wolf,0.917
2024-11-05,20:00,Away,0,L,5,1,4,Minnesota Wild,28,24,4,1,4,100,100,52.4,Los Angeles Kings,David Rittich,0.958
2024-11-05,20:00,Away,2,W,0,3,-3,Winnipeg Jets,21,28,-7,4,2,0,50,45.6,Utah Hockey Club,Karel Vejmelka,0.926
2024-11-05,22:00,Away,2,W,5,1,4,Anaheim Ducks,37,22,15,5,4,20,75,54.0,Vancouver Canucks,Kevin Lankinen,0.955
2024-11-05,20:00,Home,1,W,3,0,3,Utah Hockey Club,28,21,7,2,4,50,100,54.4,Winnipeg Jets,Connor Hellebuyck,1.0
2024-11-05,20:00,Home,1,L,1,5,-4,Los Angeles Kings,24,28,-4,4,1,0,0,47.6,Minnesota Wild,Filip Gustavsson,0.852
2024-11-05,21:00,Away,1,L,3,6,-3,Colorado Avalanche,20,32,-12,3,5,33.3,40,54.2,Seattle Kraken,Philipp Grubauer,0.839
2024-11-05,22:30,Home,2,W,2,1,1,Columbus Blue Jackets,27,50,-23,4,3,0,100,48.2,San Jose Sharks,Vitek Vanecek,0.98
2024-11-05,22:00,Home,1,W,1,5,-4,Vancouver Canucks,22,37,-15,4,5,25,80,46.0,Anaheim Ducks,Lukas Dostal,0.865
2024-11-05,21:00,Home,2,L,6,3,3,Seattle Kraken,32,20,12,5,3,60,66.7,45.8,Colorado Avalanche,Justus Annunen,0.85
2024-11-05,22:30,Away,2,L,1,2,-1,San Jose Sharks,50,27,23,3,4,0,100,51.8,Columbus Blue Jackets,Elvis Merzlikins,0.926
2024-11-06,20:30,Home,1,L,2,4,-2,Vegas Golden Knights,29,35,-6,1,2,0,50,50.9,Edmonton Oilers,Stuart Skinner,0.912
2024-11-06,20:30,Away,3,W,4,2,2,Edmonton Oilers,35,29,6,2,1,50,100,49.1,Vegas Golden Knights,Adin Hill,0.931
2024-11-06,19:00,Home,2,L,3,2,1,Nashville Predators,36,35,1,6,2,0,100,47.6,Washington Capitals,Logan Thompson,0.943
2024-11-06,20:00,Home,2,W,1,4,-3,Detroit Red Wings,29,25,4,2,2,0,100,52.8,Chicago Blackhawks,Petr Mrazek,0.875
2024-11-06,20:00,Away,3,W,4,1,3,Chicago Blackhawks,25,29,-4,2,2,0,100,47.2,Detroit Red Wings,Cam Talbot,0.966
2024-11-06,19:00,Away,1,L,2,3,-1,Washington Capitals,35,36,-1,2,6,0,100,52.4,Nashville Predators,Juuse Saros,0.917
2024-11-07,20:00,Away,0,W,1,3,-2,Dallas Stars,26,40,-14,3,3,33.3,100,28.6,Chicago Blackhawks,Arvid Soderblom,0.949
2024-11-07,19:00,Away,1,L,6,1,5,New York Rangers,22,26,-4,4,4,25,100,51.9,Buffalo Sabres,Ukko-Pekka Luukkonen,0.962
2024-11-07,19:00,Home,1,W,2,4,-2,New York Islanders,30,25,5,3,2,33.3,100,49.1,Ottawa Senators,Anton Forsberg,0.875
2024-11-07,19:00,Home,1,W,4,3,1,Calgary Flames,38,37,1,2,3,0,66.7,53.2,Boston Bruins,Joonas Korpisalo,0.919
2024-11-07,20:00,Home,1,W,2,4,-2,Utah Hockey Club,15,31,-16,3,2,0,100,40.3,St. Louis Blues,Joel Hofer,0.9
2024-11-07,19:30,Away,1,L,1,1,0,Tampa Bay Lightning,31,23,8,2,2,0,100,51.2,Philadelphia Flyers,Ivan Fedotov,0.957
2024-11-07,19:00,Home,3,L,1,6,-5,Buffalo Sabres,26,22,4,4,4,0,75,48.2,New York Rangers,Jonathan Quick,0.9
2024-11-07,19:00,Home,3,L,1,6,-5,Buffalo Sabres,26,22,4,4,4,0,75,48.2,New York Rangers,Igor Shesterkin,0.583
2024-11-07,19:00,Away,1,L,4,2,2,Ottawa Senators,25,30,-5,2,3,0,66.7,50.9,New York Islanders,Semyon Varlamov,0.933
2024-11-07,19:00,Home,2,W,5,3,2,Montreal Canadiens,27,24,3,3,2,0,100,52.9,New Jersey Devils,Jacob Markstrom,0.875
2024-11-07,19:00,Home,4,L,6,2,4,Nashville Predators,34,18,16,7,5,28.6,80,40.6,Florida Panthers,Sergei Bobrovsky,0.889
2024-11-07,19:00,Away,1,L,1,5,-4,Carolina Hurricanes,36,18,18,4,1,0,100,47.4,Pittsburgh Penguins,Alex Nedeljkovic,0.722
2024-11-07,19:30,Home,1,W,1,1,0,Philadelphia Flyers,23,31,-8,2,2,0,100,48.8,Tampa Bay Lightning,Andrei Vasilevskiy,0.968
2024-11-07,20:00,Home,1,W,1,0,1,Colorado Avalanche,28,35,-7,2,1,0,100,55.9,Winnipeg Jets,Connor Hellebuyck,1.0
2024-11-07,19:00,Away,0,W,2,6,-4,Florida Panthers,18,34,-16,5,7,20,71.4,59.4,Nashville Predators,Scott Wedgewood,0.824
2024-11-07,22:30,Home,1,W,2,4,-2,Vancouver Canucks,28,23,5,4,3,0,66.7,49.0,Los Angeles Kings,Darcy Kuemper,0.909
2024-11-07,20:00,Away,1,L,4,2,2,St. Louis Blues,31,15,16,2,3,0,100,59.7,Utah Hockey Club,Connor Ingram,0.867
2024-11-07,19:00,Away,1,W,3,5,-2,New Jersey Devils,24,27,-3,2,3,0,100,47.1,Montreal Canadiens,Sam Montembeault,0.846
2024-11-07,22:30,Away,1,L,5,2,3,San Jose Sharks,31,26,5,3,3,33.3,100,37.5,Minnesota Wild,Marc-Andre Fleury,0.923
2024-11-07,22:30,Home,1,L,2,5,-3,Minnesota Wild,26,31,-5,3,3,0,66.7,62.5,San Jose Sharks,Vitek Vanecek,0.867
2024-11-07,19:00,Home,1,L,5,1,4,Pittsburgh Penguins,18,36,-18,1,4,0,100,52.6,Carolina Hurricanes,Pyotr Kochetkov,0.972
2024-11-07,20:00,Home,4,L,3,1,2,Chicago Blackhawks,40,26,14,3,3,0,66.7,71.4,Dallas Stars,Jake Oettinger,0.962
2024-11-07,19:00,Away,1,L,3,4,-1,Boston Bruins,37,38,-1,3,2,33.3,100,46.8,Calgary Flames,Dustin Wolf,0.895
2024-11-07,22:30,Away,1,W,4,2,2,Los Angeles Kings,23,28,-5,3,4,33.3,100,51.0,Vancouver Canucks,Kevin Lankinen,0.929
2024-11-07,20:00,Away,1,W,0,1,-1,Winnipeg Jets,35,28,7,1,2,0,100,44.1,Colorado Avalanche,Alexandar Georgiev,0.964
2024-11-08,19:30,Away,0,W,4,2,2,Washington Capitals,32,34,-2,2,3,0,100,49.2,Pittsburgh Penguins,Joel Blomqvist,0.941
2024-11-08,19:00,Home,2,L,3,1,2,Detroit Red Wings,20,22,-2,2,3,100,66.7,43.1,Toronto Maple Leafs,Anthony Stolarz,0.955
2024-11-08,19:30,Home,1,L,2,4,-2,Pittsburgh Penguins,34,32,2,3,2,0,100,50.9,Washington Capitals,Charlie Lindgren,0.903
2024-11-08,19:00,Away,1,L,1,3,-2,Toronto Maple Leafs,22,20,2,3,2,33.3,0,56.9,Detroit Red Wings,Cam Talbot,0.895
2024-11-08,22:00,Home,2,W,2,5,-3,Minnesota Wild,35,31,4,6,2,0,50,41.7,Anaheim Ducks,Lukas Dostal,0.839
2024-11-08,22:00,Away,0,L,5,2,3,Anaheim Ducks,31,35,-4,2,6,50,100,58.3,Minnesota Wild,Filip Gustavsson,0.943
2024-11-08,22:00,Away,1,L,3,4,-1,Seattle Kraken,24,32,-8,4,1,25,100,48.2,Vegas Golden Knights,Adin Hill,0.875
2024-11-08,22:00,Home,2,L,4,3,1,Vegas Golden Knights,32,24,8,1,4,0,75,51.9,Seattle Kraken,Joey Daccord,0.875
2024-11-09,21:00,Away,1,W,4,6,-2,Colorado Avalanche,31,29,2,4,5,25,80,59.7,Carolina Hurricanes,Spencer Martin,0.821
2024-11-09,19:00,Home,0,L,4,1,3,Montreal Canadiens,27,21,6,4,2,50,50,56.5,Toronto Maple Leafs,Joseph Woll,0.952
2024-11-09,19:00,Away,1,L,3,2,1,Boston Bruins,34,16,18,3,2,33.3,100,52.9,Ottawa Senators,Linus Ullmark,0.875
2024-11-09,19:00,Away,1,L,1,4,-3,Toronto Maple Leafs,21,27,-6,2,4,50,50,43.6,Montreal Canadiens,Sam Montembeault,0.852
2024-11-09,13:00,Home,1,L,2,2,0,Calgary Flames,19,26,-7,2,3,50,100,60.0,Buffalo Sabres,Ukko-Pekka Luukkonen,0.923
2024-11-09,19:00,Home,1,W,2,3,-1,Ottawa Senators,16,34,-18,2,3,0,66.7,47.1,Boston Bruins,Jeremy Swayman,0.912
2024-11-09,18:00,Away,1,W,3,3,0,Florida Panthers,37,31,6,2,2,0,100,44.3,Philadelphia Flyers,Samuel Ersson,0.903
2024-11-09,19:00,Away,1,W,4,0,4,Detroit Red Wings,24,37,-13,2,2,50,100,44.8,New York Rangers,Jonathan Quick,1.0
2024-11-09,19:30,Away,1,W,4,3,1,New York Islanders,33,22,11,2,0,50,--,44.4,New Jersey Devils,Jacob Markstrom,0.864
2024-11-09,19:00,Away,0,L,8,1,7,St. Louis Blues,27,25,2,2,3,100,100,46.2,Washington Capitals,Logan Thompson,0.96
2024-11-09,18:00,Home,1,W,3,3,0,Philadelphia Flyers,31,37,-6,2,2,0,100,55.7,Florida Panthers,Sergei Bobrovsky,0.919
2024-11-09,19:30,Home,1,L,3,4,-1,New Jersey Devils,22,33,-11,0,2,--,50,55.6,New York Islanders,Ilya Sorokin,0.879
2024-11-09,19:00,Home,0,L,0,4,-4,New York Rangers,37,24,13,2,2,0,50,55.2,Detroit Red Wings,Ville Husso,0.87
2024-11-09,22:00,Home,1,L,3,7,-4,Edmonton Oilers,20,31,-11,2,3,50,66.7,53.3,Vancouver Canucks,Kevin Lankinen,0.741
2024-11-09,22:00,Home,1,L,3,7,-4,Edmonton Oilers,20,31,-11,2,3,50,66.7,53.3,Vancouver Canucks,Arturs Silovs,1.0
2024-11-09,15:00,Home,1,W,4,1,3,Dallas Stars,25,33,-8,5,4,40,100,46.2,Winnipeg Jets,Connor Hellebuyck,0.97
2024-11-09,21:00,Home,1,L,5,2,3,Columbus Blue Jackets,23,26,-3,4,3,25,66.7,56.9,Los Angeles Kings,David Rittich,0.923
2024-11-09,15:00,Away,1,W,1,4,-3,Winnipeg Jets,33,25,8,4,5,0,60,53.9,Dallas Stars,Casey DeSmith,1.0
2024-11-09,15:00,Away,1,W,1,4,-3,Winnipeg Jets,33,25,8,4,5,0,60,53.9,Dallas Stars,Jake Oettinger,0.733
2024-11-09,20:00,Away,1,W,0,4,-4,Nashville Predators,27,21,6,2,4,0,50,43.8,Utah Hockey Club,Connor Ingram,0.85
2024-11-09,21:00,Away,3,W,2,5,-3,Los Angeles Kings,26,23,3,3,4,33.3,75,43.1,Columbus Blue Jackets,Elvis Merzlikins,0.818
2024-11-09,21:00,Home,1,L,6,4,2,Carolina Hurricanes,29,31,-2,5,4,20,75,40.3,Colorado Avalanche,Alexandar Georgiev,0.871
2024-11-09,13:00,Away,1,L,2,2,0,Buffalo Sabres,26,19,7,3,2,0,50,40.0,Calgary Flames,Dan Vladar,0.895
2024-11-09,19:00,Home,1,W,1,8,-7,Washington Capitals,25,27,-2,3,2,0,0,53.9,St. Louis Blues,Jordan Binnington,0.704
2024-11-09,20:00,Home,1,W,4,0,4,Utah Hockey Club,21,27,-6,4,2,50,100,56.3,Nashville Predators,Juuse Saros,1.0
2024-11-09,22:00,Away,2,W,7,3,4,Vancouver Canucks,31,20,11,3,2,33.3,50,46.7,Edmonton Oilers,Stuart Skinner,0.85
2024-11-10,19:00,Home,0,W,0,1,-1,San Jose Sharks,44,27,17,2,3,0,100,58.8,New Jersey Devils,Jake Allen,0.963
2024-11-10,19:00,Home,2,L,2,1,1,Minnesota Wild,22,33,-11,3,3,0,100,51.9,Chicago Blackhawks,Petr Mrazek,0.97
2024-11-10,20:00,Home,1,L,4,2,2,Columbus Blue Jackets,30,40,-10,2,2,0,50,43.3,Anaheim Ducks,John Gibson,0.95
2024-11-10,19:00,Away,2,W,1,0,1,New Jersey Devils,27,44,-17,3,2,0,100,41.2,San Jose Sharks,Mackenzie Blackwood,1.0
2024-11-10,20:00,Away,0,L,2,4,-2,Anaheim Ducks,40,30,10,2,2,50,100,56.7,Columbus Blue Jackets,Daniil Tarasov,0.897
2024-11-10,19:00,Away,1,L,1,2,-1,Chicago Blackhawks,33,22,11,3,3,0,100,48.2,Minnesota Wild,Filip Gustavsson,0.909
2024-11-11,12:30,Away,1,W,7,5,2,Buffalo Sabres,23,18,5,6,4,33.3,75,39.4,Montreal Canadiens,Sam Montembeault,1.0
2024-11-11,12:30,Away,1,W,7,5,2,Buffalo Sabres,23,18,5,6,4,33.3,75,39.4,Montreal Canadiens,Cayden Primeau,0.643
2024-11-11,12:30,Home,1,L,5,7,-2,Montreal Canadiens,18,23,-5,4,6,25,66.7,60.6,Buffalo Sabres,Ukko-Pekka Luukkonen,0.778
2024-11-11,12:30,Home,1,L,5,7,-2,Montreal Canadiens,18,23,-5,4,6,25,66.7,60.6,Buffalo Sabres,Devon Levi,0.5
2024-11-11,21:00,Away,1,W,2,3,-1,Colorado Avalanche,30,32,-2,2,2,0,100,55.4,Nashville Predators,Juuse Saros,0.906
2024-11-11,19:00,Home,1,L,3,3,0,San Jose Sharks,43,31,12,3,3,33.3,100,50.0,Philadelphia Flyers,Samuel Ersson,0.903
2024-11-11,19:00,Home,2,W,1,7,-6,Dallas Stars,21,40,-19,1,4,0,50,49.0,Pittsburgh Penguins,Alex Nedeljkovic,0.875
2024-11-11,19:00,Home,2,W,1,7,-6,Dallas Stars,21,40,-19,1,4,0,50,49.0,Pittsburgh Penguins,Joel Blomqvist,0.625
2024-11-11,22:00,Away,1,W,5,2,3,Vegas Golden Knights,34,32,2,4,3,0,66.7,59.7,Carolina Hurricanes,Pyotr Kochetkov,0.938
2024-11-11,20:30,Away,1,L,1,3,-2,Calgary Flames,29,28,1,1,2,0,100,45.7,Los Angeles Kings,Darcy Kuemper,0.926
2024-11-11,19:00,Away,0,L,3,3,0,Philadelphia Flyers,31,43,-12,3,3,0,66.7,50.0,San Jose Sharks,Vitek Vanecek,0.93
2024-11-11,22:00,Home,2,L,2,5,-3,Carolina Hurricanes,32,34,-2,3,4,33.3,100,40.3,Vegas Golden Knights,Adin Hill,0.81
2024-11-11,22:00,Home,2,L,2,5,-3,Carolina Hurricanes,32,34,-2,3,4,33.3,100,40.3,Vegas Golden Knights,Akira Schmid,1.0
2024-11-11,19:00,Away,1,W,7,1,6,Pittsburgh Penguins,40,21,19,4,1,50,100,51.0,Dallas Stars,Jake Oettinger,0.952
2024-11-11,21:00,Home,1,L,3,2,1,Nashville Predators,32,30,2,2,2,0,100,44.6,Colorado Avalanche,Alexandar Georgiev,0.933
2024-11-11,20:30,Home,1,L,3,1,2,Los Angeles Kings,28,29,-1,2,1,0,100,54.4,Calgary Flames,Dustin Wolf,0.966
2024-11-12,22:00,Home,3,L,5,2,3,Columbus Blue Jackets,33,40,-7,3,1,33.3,100,45.5,Seattle Kraken,Joey Daccord,0.95
2024-11-12,19:30,Away,1,W,4,1,3,Florida Panthers,24,35,-11,1,3,0,66.7,39.7,New Jersey Devils,Jacob Markstrom,0.971
2024-11-12,21:00,Away,2,L,3,4,-1,Edmonton Oilers,22,42,-20,2,2,0,50,46.7,New York Islanders,Ilya Sorokin,0.905
2024-11-12,19:00,Home,2,W,3,6,-3,Winnipeg Jets,36,33,3,4,2,25,50,64.7,New York Rangers,Igor Shesterkin,0.844
2024-11-12,20:00,Away,2,L,3,2,1,St. Louis Blues,30,22,8,4,3,0,33.3,54.2,Boston Bruins,Jeremy Swayman,0.909
2024-11-12,19:00,Home,2,L,0,3,-3,Ottawa Senators,27,41,-14,4,3,0,100,53.7,Toronto Maple Leafs,Anthony Stolarz,0.927
2024-11-12,22:00,Away,0,W,1,3,-2,Vancouver Canucks,29,32,-3,2,3,0,66.7,41.0,Calgary Flames,Dan Vladar,0.906
2024-11-12,20:00,Home,2,L,2,3,-1,Boston Bruins,22,30,-8,3,4,66.7,100,45.8,St. Louis Blues,Jordan Binnington,0.9
2024-11-12,21:00,Home,2,W,4,3,1,New York Islanders,42,22,20,2,2,50,100,53.3,Edmonton Oilers,Stuart Skinner,0.864
2024-11-12,22:00,Home,2,L,3,1,2,Calgary Flames,32,29,3,3,2,33.3,100,59.0,Vancouver Canucks,Kevin Lankinen,0.966
2024-11-12,22:00,Away,1,W,2,5,-3,Seattle Kraken,40,33,7,1,3,0,66.7,54.6,Columbus Blue Jackets,Elvis Merzlikins,0.875
2024-11-12,19:00,Away,2,W,6,3,3,New York Rangers,33,36,-3,2,4,50,75,35.3,Winnipeg Jets,Connor Hellebuyck,0.917
2024-11-12,19:30,Home,2,W,1,4,-3,New Jersey Devils,35,24,11,3,1,33.3,100,60.3,Florida Panthers,Spencer Knight,0.87
2024-11-12,19:00,Away,2,L,3,0,3,Toronto Maple Leafs,41,27,14,3,4,0,100,46.3,Ottawa Senators,Linus Ullmark,1.0
2024-11-13,21:00,Away,1,W,1,4,-3,Utah Hockey Club,50,21,29,6,1,16.7,100,58.9,Carolina Hurricanes,Spencer Martin,0.667
2024-11-13,21:00,Away,1,W,1,4,-3,Utah Hockey Club,50,21,29,6,1,16.7,100,58.9,Carolina Hurricanes,Pyotr Kochetkov,0.833
2024-11-13,19:30,Away,3,L,3,2,1,Pittsburgh Penguins,31,33,-2,2,2,50,100,54.6,Detroit Red Wings,Cam Talbot,0.939
2024-11-13,19:30,Home,1,L,2,3,-1,Detroit Red Wings,33,31,2,2,2,0,50,45.5,Pittsburgh Penguins,Alex Nedeljkovic,0.903
2024-11-13,19:30,Away,0,W,4,3,1,Washington Capitals,34,27,7,2,1,50,100,46.3,Toronto Maple Leafs,Joseph Woll,0.889
2024-11-13,19:30,Home,3,L,3,4,-1,Toronto Maple Leafs,27,34,-7,1,2,0,50,53.7,Washington Capitals,Logan Thompson,0.882
2024-11-13,22:00,Away,1,W,3,2,1,Anaheim Ducks,39,24,15,3,3,33.3,100,58.8,Vegas Golden Knights,Adin Hill,0.917
2024-11-13,22:00,Home,1,W,4,2,2,Los Angeles Kings,26,15,11,3,1,0,100,32.8,Colorado Avalanche,Alexandar Georgiev,0.867
2024-11-13,21:00,Home,3,W,4,1,3,Carolina Hurricanes,21,50,-29,1,6,0,83.3,41.1,Utah Hockey Club,Karel Vejmelka,0.98
2024-11-13,22:00,Home,2,L,2,3,-1,Vegas Golden Knights,24,39,-15,3,3,0,66.7,41.2,Anaheim Ducks,Lukas Dostal,0.923
2024-11-13,22:00,Away,1,L,2,4,-2,Colorado Avalanche,15,26,-11,1,3,0,100,67.2,Los Angeles Kings,Darcy Kuemper,0.9
2024-11-13,22:00,Away,1,L,2,4,-2,Colorado Avalanche,15,26,-11,1,3,0,100,67.2,Los Angeles Kings,David Rittich,0.8
2024-11-14,19:00,Home,4,L,4,1,3,Winnipeg Jets,29,24,5,3,5,33.3,100,56.9,Tampa Bay Lightning,Andrei Vasilevskiy,0.958
2024-11-14,22:00,Away,1,W,5,2,3,Vancouver Canucks,32,26,6,5,1,20,100,59.3,New York Islanders,Semyon Varlamov,0.923
2024-11-14,19:00,Home,1,L,3,2,1,San Jose Sharks,35,27,8,1,3,0,66.7,50.0,New York Rangers,Igor Shesterkin,0.926
2024-11-14,19:00,Away,2,L,5,4,1,Ottawa Senators,19,37,-18,2,6,0,66.7,38.6,Philadelphia Flyers,Ivan Fedotov,0.892
2024-11-14,20:00,Away,1,W,2,7,-5,Dallas Stars,25,38,-13,2,2,0,100,57.1,Boston Bruins,Jeremy Swayman,0.816
2024-11-14,19:30,Home,2,W,4,3,1,St. Louis Blues,33,27,6,3,1,33.3,100,36.1,Buffalo Sabres,Devon Levi,0.889
2024-11-14,20:00,Away,2,W,0,3,-3,Minnesota Wild,19,28,-9,3,3,0,66.7,54.0,Montreal Canadiens,Sam Montembeault,0.926
2024-11-14,19:00,Home,1,L,4,5,-1,Philadelphia Flyers,37,19,18,6,2,33.3,100,61.4,Ottawa Senators,Linus Ullmark,0.737
2024-11-14,19:00,Home,1,W,2,6,-4,New Jersey Devils,27,29,-2,5,5,0,40,38.9,Florida Panthers,Sergei Bobrovsky,0.821
2024-11-14,19:00,Away,1,L,6,2,4,Florida Panthers,29,27,2,5,5,60,100,61.1,New Jersey Devils,Jake Allen,0.926
2024-11-14,22:00,Away,3,L,1,3,-2,Seattle Kraken,19,26,-7,1,3,0,66.7,48.2,Chicago Blackhawks,Petr Mrazek,0.92
2024-11-14,21:00,Away,2,W,2,3,-1,Edmonton Oilers,22,34,-12,2,4,0,100,52.6,Nashville Predators,Scott Wedgewood,0.912
2024-11-14,19:30,Away,1,L,3,4,-1,Buffalo Sabres,27,33,-6,1,3,0,66.7,63.9,St. Louis Blues,Jordan Binnington,0.879
2024-11-14,21:00,Home,1,L,3,2,1,Nashville Predators,34,22,12,4,2,0,100,47.4,Edmonton Oilers,Calvin Pickard,0.909
2024-11-14,22:00,Home,1,L,2,5,-3,New York Islanders,26,32,-6,1,5,0,80,40.7,Vancouver Canucks,Kevin Lankinen,0.871
2024-11-14,20:00,Home,2,W,7,2,5,Boston Bruins,38,25,13,2,2,0,100,42.9,Dallas Stars,Jake Oettinger,0.92
2024-11-14,19:00,Away,2,L,2,3,-1,New York Rangers,27,35,-8,3,1,33.3,100,50.0,San Jose Sharks,Mackenzie Blackwood,0.914
2024-11-14,20:00,Home,3,L,3,0,3,Montreal Canadiens,28,19,9,3,3,33.3,100,46.0,Minnesota Wild,Filip Gustavsson,1.0
2024-11-14,22:00,Home,1,L,3,1,2,Chicago Blackhawks,26,19,7,3,1,33.3,100,51.8,Seattle Kraken,Joey Daccord,0.947
2024-11-14,19:00,Away,1,W,1,4,-3,Tampa Bay Lightning,24,29,-5,5,3,0,66.7,43.1,Winnipeg Jets,Eric Comrie,0.893
2024-11-15,21:00,Home,2,W,2,0,2,Nashville Predators,33,29,4,4,2,0,100,49.4,Calgary Flames,Dustin Wolf,1.0
2024-11-15,19:00,Away,1,L,2,6,-4,Columbus Blue Jackets,23,39,-16,4,5,25,80,47.5,Pittsburgh Penguins,Tristan Jarry,0.868
2024-11-15,21:00,Away,1,W,5,2,3,Colorado Avalanche,20,19,1,2,1,50,100,50.8,Washington Capitals,Charlie Lindgren,0.895
2024-11-15,22:00,Away,1,W,4,6,-2,Anaheim Ducks,25,29,-4,4,4,75,50,58.6,Detroit Red Wings,Alex Lyon,0.821
2024-11-15,21:00,Away,0,W,0,2,-2,Calgary Flames,29,33,-4,2,4,0,100,50.6,Nashville Predators,Juuse Saros,0.969
2024-11-15,22:00,Home,1,L,6,4,2,Detroit Red Wings,29,25,4,4,4,50,25,41.4,Anaheim Ducks,John Gibson,0.84
2024-11-15,19:00,Home,2,W,6,2,4,Pittsburgh Penguins,39,23,16,5,4,20,75,52.5,Columbus Blue Jackets,Elvis Merzlikins,0.913
2024-11-15,21:00,Away,1,L,4,2,2,Utah Hockey Club,29,32,-3,3,4,66.7,75,39.1,Vegas Golden Knights,Adin Hill,0.938
2024-11-15,21:00,Home,1,L,2,4,-2,Vegas Golden Knights,32,29,3,4,3,25,33.3,60.9,Utah Hockey Club,Karel Vejmelka,0.893
2024-11-15,21:00,Home,1,W,2,5,-3,Washington Capitals,19,20,-1,1,2,0,50,49.2,Colorado Avalanche,Justus Annunen,0.5
2024-11-15,21:00,Home,1,W,2,5,-3,Washington Capitals,19,20,-1,1,2,0,50,49.2,Colorado Avalanche,Trent Miner,0.923
2024-11-16,19:00,Home,1,W,4,0,4,New Jersey Devils,26,29,-3,3,4,33.3,100,50.0,Tampa Bay Lightning,Andrei Vasilevskiy,1.0
2024-11-16,19:00,Away,1,L,0,4,-4,Tampa Bay Lightning,29,26,3,4,3,0,66.7,50.0,New Jersey Devils,Jacob Markstrom,0.885
2024-11-16,16:00,Away,1,L,2,3,-1,Seattle Kraken,24,27,-3,1,4,0,100,57.9,New York Islanders,Ilya Sorokin,0.889
2024-11-16,19:00,Home,1,L,5,2,3,Buffalo Sabres,32,25,7,5,4,20,75,50.7,Philadelphia Flyers,Ivan Fedotov,0.92
2024-11-16,19:00,Home,0,L,3,3,0,San Jose Sharks,36,29,7,1,4,0,75,56.5,Pittsburgh Penguins,Alex Nedeljkovic,0.897
2024-11-16,19:00,Home,1,W,5,1,4,Columbus Blue Jackets,30,26,4,4,4,25,100,50.0,Montreal Canadiens,Sam Montembeault,0.962
2024-11-16,19:00,Away,1,W,0,4,-4,Carolina Hurricanes,24,28,-4,4,5,0,60,51.8,Ottawa Senators,Anton Forsberg,0.889
2024-11-16,13:00,Home,1,W,2,3,-1,St. Louis Blues,18,31,-13,1,2,0,100,55.9,Boston Bruins,Joonas Korpisalo,0.903
2024-11-16,19:00,Home,2,L,4,0,4,Ottawa Senators,28,24,4,5,4,40,100,48.2,Carolina Hurricanes,Spencer Martin,1.0
2024-11-16,19:00,Home,1,W,5,0,5,Winnipeg Jets,31,27,4,3,2,0,100,39.7,Florida Panthers,Sergei Bobrovsky,1.0
2024-11-16,19:00,Away,1,W,2,5,-3,Philadelphia Flyers,25,32,-7,4,5,25,80,49.4,Buffalo Sabres,Devon Levi,0.871
2024-11-16,19:00,Home,2,L,4,3,1,Edmonton Oilers,22,30,-8,4,2,0,50,44.2,Toronto Maple Leafs,Anthony Stolarz,0.9
2024-11-16,16:00,Home,1,W,3,2,1,New York Islanders,27,24,3,4,1,0,100,42.1,Seattle Kraken,Joey Daccord,0.917
2024-11-16,19:00,Away,1,L,3,3,0,Pittsburgh Penguins,29,36,-7,4,1,25,100,43.5,San Jose Sharks,Vitek Vanecek,0.8
2024-11-16,19:00,Away,1,L,3,3,0,Pittsburgh Penguins,29,36,-7,4,1,25,100,43.5,San Jose Sharks,Mackenzie Blackwood,0.962
2024-11-16,22:00,Away,1,W,1,4,-3,Vancouver Canucks,29,33,-4,1,3,0,66.7,37.3,Chicago Blackhawks,Arvid Soderblom,0.935
2024-11-16,13:00,Away,1,L,3,2,1,Boston Bruins,31,18,13,2,1,0,100,44.1,St. Louis Blues,Jordan Binnington,0.889
2024-11-16,19:00,Away,1,L,3,4,-1,Toronto Maple Leafs,30,22,8,2,4,50,100,55.8,Edmonton Oilers,Stuart Skinner,0.818
2024-11-16,22:00,Home,1,L,4,1,3,Chicago Blackhawks,33,29,4,3,1,33.3,100,62.8,Vancouver Canucks,Arturs Silovs,0.966
2024-11-16,20:00,Away,1,W,2,1,1,Minnesota Wild,40,23,17,1,2,0,100,57.1,Dallas Stars,Jake Oettinger,0.957
2024-11-16,19:00,Away,0,L,1,5,-4,Montreal Canadiens,26,30,-4,4,4,0,75,50.0,Columbus Blue Jackets,Daniil Tarasov,0.833
2024-11-16,20:00,Home,1,W,1,2,-1,Dallas Stars,23,40,-17,2,1,0,100,42.9,Minnesota Wild,Filip Gustavsson,0.95
2024-11-16,19:00,Away,1,L,0,5,-5,Florida Panthers,27,31,-4,2,3,0,100,60.3,Winnipeg Jets,Connor Hellebuyck,0.839
2024-11-16,20:00,Home,2,W,4,1,3,Detroit Red Wings,41,18,23,1,0,0,--,55.9,Los Angeles Kings,David Rittich,0.944
2024-11-16,20:00,Away,0,L,1,4,-3,Los Angeles Kings,18,41,-23,0,1,--,100,44.1,Detroit Red Wings,Cam Talbot,0.925
2024-11-17,17:00,Home,0,L,4,1,3,St. Louis Blues,24,30,-6,3,1,33.3,100,63.5,Carolina Hurricanes,Pyotr Kochetkov,0.967
