date,time,venue,rest days,result,gf/gp,ga/gp,net goals,opponent,shots for,shots against,shot diff,pp opp/gp,ts/gp,pp%,pk%,fow%,team,goalie,sv%
2024-10-10,20:00,Home,4,W,3,2,1,Columbus Blue Jackets,26,33,-7,3,3,33.3,66.7,54.2,Minnesota Wild,Filip Gustavsson,0.939
2024-10-10,20:00,Home,4,W,3,4,-1,Dallas Stars,36,20,16,6,4,16.7,75.0,65.5,Nashville Predators,Scott Wedgewood,0.8
2024-10-10,19:30,Away,1,L,5,4,1,New York Islanders,26,27,-1,2,6,100.0,83.3,52.2,Utah Hockey Club,Connor Ingram,0.852
2024-10-11,20:00,Away,2,L,1,2,-1,Winnipeg Jets,26,35,-9,1,2,0.0,100.0,36.7,Chicago Blackhawks,Arvid Soderblom,0.943
2024-10-11,22:00,Away,4,L,2,2,0,Vancouver Canucks,31,26,5,4,5,25.0,100.0,42.2,Philadelphia Flyers,Samuel Ersson,0.923
2024-10-11,19:00,Away,4,W,4,1,3,Carolina Hurricanes,23,21,2,6,4,33.3,100.0,47.0,Tampa Bay Lightning,Andrei Vasilevskiy,0.952
2024-10-11,19:00,Home,4,W,1,4,-3,Tampa Bay Lightning,21,23,-2,4,6,0.0,66.7,53.0,Carolina Hurricanes,Frederik Andersen,0.905
2024-10-11,22:00,Away,0,W,3,4,-1,Vegas Golden Knights,22,28,-6,2,2,50.0,100.0,52.8,St. Louis Blues,Jordan Binnington,0.857
2024-10-11,20:00,Home,1,W,2,1,1,Chicago Blackhawks,35,26,9,2,1,0.0,100.0,63.3,Winnipeg Jets,Connor Hellebuyck,0.962
2024-10-11,22:00,Home,1,L,4,3,1,St. Louis Blues,28,22,6,2,2,0.0,50.0,47.2,Vegas Golden Knights,Adin Hill,0.864
2024-10-11,22:00,Home,1,W,2,2,0,Philadelphia Flyers,26,31,-5,5,4,0.0,75.0,57.8,Vancouver Canucks,Kevin Lankinen,0.935
2024-10-12,19:00,Away,1,L,2,5,-3,Buffalo Sabres,25,27,-2,2,3,50.0,100.0,48.4,Florida Panthers,Spencer Knight,0.846
2024-10-12,19:00,Home,1,W,4,2,2,Pittsburgh Penguins,33,23,10,3,4,0.0,75.0,53.2,Toronto Maple Leafs,Anthony Stolarz,0.913
2024-10-12,19:00,Away,1,L,1,4,-3,Montreal Canadiens,25,26,-1,4,4,0.0,75.0,45.5,Ottawa Senators,Linus Ullmark,0.846
2024-10-12,19:00,Home,1,L,4,1,3,Ottawa Senators,26,25,1,4,4,25.0,100.0,54.6,Montreal Canadiens,Sam Montembeault,0.96
2024-10-12,19:00,Home,1,L,5,2,3,Florida Panthers,27,25,2,3,2,0.0,50.0,51.6,Buffalo Sabres,Devon Levi,0.92
2024-10-12,19:00,Away,1,L,2,4,-2,Toronto Maple Leafs,23,33,-10,4,3,25.0,100.0,46.8,Pittsburgh Penguins,Joel Blomqvist,0.906
2024-10-12,22:00,Away,0,W,3,6,-3,Calgary Flames,40,32,8,4,5,25.0,60.0,54.6,Philadelphia Flyers,Ivan Fedotov,0.839
2024-10-12,19:00,Home,2,L,5,6,-1,Utah Hockey Club,34,26,8,3,4,33.3,75.0,56.9,New York Rangers,Igor Shesterkin,0.769
2024-10-12,20:00,Away,1,L,0,3,-3,Dallas Stars,34,27,7,1,2,0.0,100.0,50.9,New York Islanders,Semyon Varlamov,0.923
2024-10-12,19:00,Away,1,L,5,3,2,Washington Capitals,33,32,1,4,3,0.0,66.7,58.2,New Jersey Devils,Jacob Markstrom,0.906
2024-10-12,19:00,Home,4,L,3,5,-2,New Jersey Devils,32,33,-1,3,4,33.3,100.0,41.8,Washington Capitals,Charlie Lindgren,0.875
2024-10-12,22:00,Away,0,L,5,2,3,Edmonton Oilers,20,38,-18,3,3,100.0,66.7,39.7,Chicago Blackhawks,Petr Mrazek,0.947
2024-10-12,13:00,Home,1,L,2,1,1,Los Angeles Kings,26,34,-8,5,5,0.0,100.0,55.1,Boston Bruins,Jeremy Swayman,0.971
2024-10-12,13:00,Away,1,L,1,2,-1,Boston Bruins,34,26,8,5,5,0.0,100.0,44.9,Los Angeles Kings,Darcy Kuemper,0.923
2024-10-12,19:00,Away,1,W,6,5,1,New York Rangers,26,34,-8,4,3,25.0,66.7,43.1,Utah Hockey Club,Connor Ingram,0.853
2024-10-12,19:00,Away,1,L,0,3,-3,Detroit Red Wings,42,22,20,3,2,0.0,100.0,54.6,Nashville Predators,Juuse Saros,0.905
2024-10-12,20:00,Away,3,L,4,4,0,Minnesota Wild,34,38,-4,2,2,50.0,50.0,49.2,Seattle Kraken,Joey Daccord,0.895
2024-10-12,20:00,Home,1,W,4,4,0,Seattle Kraken,38,34,4,2,2,50.0,50.0,50.8,Minnesota Wild,Marc-Andre Fleury,0.882
2024-10-12,21:00,Away,1,L,6,4,2,Colorado Avalanche,23,30,-7,3,4,33.3,50.0,43.8,Columbus Blue Jackets,Daniil Tarasov,0.867
2024-10-12,22:00,Home,1,W,0,2,-2,Anaheim Ducks,30,30,0,3,5,0.0,100.0,54.4,San Jose Sharks,Vitek Vanecek,0.966
2024-10-12,20:00,Home,1,L,3,0,3,New York Islanders,27,34,-7,2,1,0.0,100.0,49.1,Dallas Stars,Jake Oettinger,1.0
2024-10-12,22:00,Away,4,W,2,0,2,San Jose Sharks,30,30,0,5,3,0.0,100.0,45.6,Anaheim Ducks,Lukas Dostal,1.0
2024-10-12,22:00,Home,2,L,2,5,-3,Chicago Blackhawks,38,20,18,3,3,33.3,0.0,60.3,Edmonton Oilers,Calvin Pickard,0.75
2024-10-12,21:00,Home,2,W,4,6,-2,Columbus Blue Jackets,30,23,7,4,3,50.0,66.7,56.3,Colorado Avalanche,Alexandar Georgiev,0.667
2024-10-12,21:00,Home,2,W,4,6,-2,Columbus Blue Jackets,30,23,7,4,3,50.0,66.7,56.3,Colorado Avalanche,Justus Annunen,0.846
2024-10-12,22:00,Home,2,W,6,3,3,Philadelphia Flyers,32,40,-8,5,4,40.0,75.0,45.5,Calgary Flames,Dustin Wolf,0.925
2024-10-12,19:00,Home,1,W,3,0,3,Nashville Predators,22,42,-20,2,3,0.0,100.0,45.5,Detroit Red Wings,Cam Talbot,1.0
2024-10-13,20:00,Home,0,W,1,4,-3,Calgary Flames,26,29,-3,1,3,0.0,100.0,55.8,Edmonton Oilers,Stuart Skinner,0.893
2024-10-13,20:00,Away,0,L,4,1,3,Edmonton Oilers,29,26,3,3,1,0.0,100.0,44.2,Calgary Flames,Dan Vladar,0.962
2024-10-13,22:00,Away,0,W,1,3,-2,Vegas Golden Knights,23,32,-9,1,4,0.0,75.0,46.5,Anaheim Ducks,James Reimer,0.906
2024-10-13,20:00,Home,0,L,2,0,2,Seattle Kraken,23,25,-2,3,4,0.0,100.0,51.9,Dallas Stars,Casey DeSmith,1.0
2024-10-13,18:00,Away,0,L,1,2,-1,Winnipeg Jets,27,35,-8,3,2,0.0,50.0,47.5,Minnesota Wild,Filip Gustavsson,0.943
2024-10-13,20:00,Away,0,W,0,2,-2,Dallas Stars,25,23,2,4,3,0.0,100.0,48.1,Seattle Kraken,Philipp Grubauer,0.913
2024-10-13,22:00,Home,1,W,3,1,2,Anaheim Ducks,32,23,9,4,1,25.0,100.0,53.5,Vegas Golden Knights,Ilya Samsonov,0.957
2024-10-13,18:00,Home,1,L,2,1,1,Minnesota Wild,35,27,8,2,3,50.0,100.0,52.5,Winnipeg Jets,Connor Hellebuyck,0.963
2024-10-14,19:30,Home,1,W,3,6,-3,Pittsburgh Penguins,28,30,-2,2,1,50.0,100.0,35.4,Montreal Canadiens,Sam Montembeault,0.828
2024-10-14,13:00,Home,1,W,3,0,3,Utah Hockey Club,32,20,12,7,4,28.6,100.0,43.2,New Jersey Devils,Jake Allen,1.0
2024-10-14,21:00,Away,1,L,6,2,4,Colorado Avalanche,37,34,3,1,2,0.0,100.0,56.8,New York Islanders,Ilya Sorokin,0.941
2024-10-14,19:30,Away,1,L,6,3,3,Montreal Canadiens,30,28,2,1,2,0.0,50.0,64.6,Pittsburgh Penguins,Tristan Jarry,0.893
2024-10-14,13:00,Home,1,L,3,4,-1,Florida Panthers,27,26,1,4,5,0.0,80.0,54.1,Boston Bruins,Jeremy Swayman,0.846
2024-10-14,19:00,Home,1,W,4,1,3,Detroit Red Wings,28,32,-4,5,4,20.0,100.0,58.2,New York Rangers,Igor Shesterkin,0.969
2024-10-14,13:00,Home,1,W,8,7,1,Los Angeles Kings,41,26,15,6,5,66.7,40.0,44.1,Ottawa Senators,Anton Forsberg,0.667
2024-10-14,13:00,Home,1,W,8,7,1,Los Angeles Kings,41,26,15,6,5,66.7,40.0,44.1,Ottawa Senators,Mads Sogaard,0.765
2024-10-14,13:00,Away,1,L,4,3,1,Boston Bruins,26,27,-1,5,4,20.0,100.0,45.9,Florida Panthers,Sergei Bobrovsky,0.889
2024-10-14,21:00,Home,1,W,2,6,-4,New York Islanders,34,37,-3,2,1,0.0,100.0,43.2,Colorado Avalanche,Alexandar Georgiev,0.861
2024-10-14,13:00,Away,1,L,7,8,-1,Ottawa Senators,26,41,-15,5,6,60.0,33.3,55.9,Los Angeles Kings,Darcy Kuemper,0.805
2024-10-14,13:00,Away,1,W,0,3,-3,New Jersey Devils,20,32,-12,4,7,0.0,71.4,56.8,Utah Hockey Club,Karel Vejmelka,0.906
2024-10-14,19:00,Away,1,L,1,4,-3,New York Rangers,32,28,4,4,5,0.0,80.0,41.8,Detroit Red Wings,Alex Lyon,0.889
2024-10-15,20:00,Home,2,W,3,7,-4,Seattle Kraken,33,35,-2,2,2,0.0,100.0,58.7,Nashville Predators,Juuse Saros,0.824
2024-10-15,19:30,Home,3,L,1,4,-3,Minnesota Wild,28,27,1,2,5,0,60.0,55.3,St. Louis Blues,Jordan Binnington,0.885
2024-10-15,19:00,Away,0,L,2,4,-2,Carolina Hurricanes,26,31,-5,3,1,33.3,100.0,44.4,New Jersey Devils,Jacob Markstrom,0.9
2024-10-15,22:00,Away,2,L,3,4,-1,Edmonton Oilers,30,31,-1,7,4,28.6,100.0,40.9,Philadelphia Flyers,Samuel Ersson,0.871
2024-10-15,19:00,Away,0,L,4,3,1,Columbus Blue Jackets,22,38,-16,3,2,0.0,100.0,42.6,Florida Panthers,Spencer Knight,0.921
2024-10-15,19:00,Home,3,L,4,1,3,Vancouver Canucks,27,27,0,5,3,0.0,66.7,45.1,Tampa Bay Lightning,Andrei Vasilevskiy,0.963
2024-10-15,19:00,Home,2,W,4,2,2,Vegas Golden Knights,22,26,-4,3,4,33.3,75.0,54.6,Washington Capitals,Logan Thompson,0.923
2024-10-15,21:00,Away,2,L,1,3,-2,Calgary Flames,32,27,5,2,3,0.0,66.7,51.5,Chicago Blackhawks,Petr Mrazek,0.923
2024-10-15,19:00,Home,3,L,4,2,2,New Jersey Devils,31,26,5,1,3,0.0,66.7,55.6,Carolina Hurricanes,Pyotr Kochetkov,0.923
2024-10-15,19:00,Away,1,L,2,4,-2,Washington Capitals,26,22,4,4,3,25,66.7,45.5,Vegas Golden Knights,Adin Hill,0.818
2024-10-15,19:00,Away,3,L,1,4,-3,Tampa Bay Lightning,27,27,0,3,5,33.3,100.0,54.9,Vancouver Canucks,Arturs Silovs,0.885
